Name,Text,Manufacturer,Cost,Slot,Notes,Design Credit
Chemthrower ,"The next time target minion or morphid would be dealt damage, double it.  Reload.",Central Chemical,3,Arm,,Hunter
Chem Spray,Deal 3 damage.  Reload.,Central Chemical,3,Arm,,Isaac
Efficient Oil,Attach: 5 durability.  Minions you control have Blitz.,Central Chemical,6,Leg,,Isaac
Toxic Discharge,Destroy all minions. Deal 6 damage to all morphids.,Central Chemical,7,Leg,,Hunter
Acid Lab,Summon a 0/15 that converts this lane to Acid.,Central Chemical,4,Leg,,Isaac
Dissolver Drone,Summon a 3/9 Hazmat minion that converts this lane to Acid.,Central Chemical,3,Leg,,Hunter
Call Reinforcements,Summon a 2/1 in each empty lane.,Starpower Industries,4,Head,,Hunter
Landing Zone,Summon a 4/12 with Blitz.,Starpower Industries,5,Head,,Hunter
Photonic Bot,Summon a 5/16 that deals lane damage.,Starpower Industries,6,Head,,Isaac
Endless Bombardment,Your minions get +1 attack whenever you upgrade your engine.,Starpower Industries,1,Chest,,Hunter
Eradicator Laser,Deal 10 damage to opponents in a lane.  Uncharge your chest.,Starpower Industries,5,Chest,,Hunter
Power Module,Summon a 3/20.  Gain 1 engine while Power Module is in play.,Starpower Industries,5,Chest,,Isaac
Mining Cannon,"Deal 5 damage.  If a minion is destroyed this way, +1 Engine.",Starpower Industries,4,Arm,,Hunter
Disposable Worker,Target friendly minion attacks.  Destroy that minion.,Starpower Industries,3,Arm,,Hunter
Fragile Contraption,Summon a 9/1 with Blitz.,Starpower Industries,5,Arm,,Isaac
Mortar Stance,Charge Arms and Chest. Double the attack of your minions until next turn. Uncharge Legs.,Starpower Industries,2,Leg,,Hunter
Destructive Rush,"Deals 5 damage to you. Destroy a minion, or deal 10 damage to a Morhpid.",Starpower Industries,4,Leg,,Hunter
Flash Forge,Summon a 3/18.  Charge every slot.,Starpower Industries,5,Leg,,Isaac
